,selected_zone,zone_value,value
2307,CLAIRTON,CHALFANT,0.93421588
2308,COLLIER,CHALFANT,0.974660915
2309,CORAOPOLIS,CHALFANT,0.620771481
2310,CRAFTON,CHALFANT,0.479502367
2311,CRESCENT,CHALFANT,0.05314703
2312,DORMONT,CHALFANT,0.510029603
2313,DRAVOSBURG,CHALFANT,0.051925574
2314,DUQUESNE,CHALFANT,0.908826974
2315,EAST DEER,CHALFANT,0.198691684
2316,EAST MCKEESPORT,CHALFANT,0.047419633
2317,EAST PITTSBURGH,CHALFANT,0.076612266
2318,EDGEWOOD,CHALFANT,0.333521703
2319,EDGEWORTH,CHALFANT,0.685080198
2320,ELIZABETH,CHALFANT,0.358710124
2321,EMSWORTH,CHALFANT,0.697876064
2322,ETNA,CHALFANT,0.987396006
2323,FAWN,CHALFANT,0.283723047
2324,FINDLAY,CHALFANT,0.783852124
2325,FOREST HILLS,CHALFANT,0.567344743
2326,FORWARD,CHALFANT,0.904738409
2327,FOX CHAPEL,CHALFANT,0.094276187
2328,FRANKLIN PARK,CHALFANT,0.050759573
2329,FRAZER,CHALFANT,0.902474985
2330,GLASSPORT,CHALFANT,0.35428461
2331,GLEN OSBORNE,CHALFANT,0.119678649
2332,GLENFIELD,CHALFANT,0.051397824
2333,GREEN TREE,CHALFANT,0.182148267
2334,HAMPTON,CHALFANT,0.128711737
2335,HARMAR,CHALFANT,0.177250333
2336,HARRISON,CHALFANT,0.353978588
2337,HAYSVILLE,CHALFANT,0.20100061
2338,HEIDELBERG,CHALFANT,0.152394744
2339,HOMESTEAD,CHALFANT,0.21374794
2340,INDIANA,CHALFANT,0.944315194
2341,INGRAM,CHALFANT,0.867851289
2342,JEFFERSON HILLS,CHALFANT,0.126324934
2343,KENNEDY,CHALFANT,0.637643968
2344,KILBUCK,CHALFANT,0.503873119
2345,LEET,CHALFANT,0.160374936
2346,LEETSDALE,CHALFANT,0.814058301
2347,LIBERTY,CHALFANT,0.573768854
2348,LINCOLN,CHALFANT,0.061579368
2349,MARSHALL,CHALFANT,0.365411945
2350,MCCANDLESS,CHALFANT,0.80512437
2351,MCDONALD,CHALFANT,0.532027883
2352,MCKEES ROCKS,CHALFANT,0.578987531
2353,MCKEESPORT,CHALFANT,0.249744798
2354,MILLVALE,CHALFANT,0.074896648
2355,MONROEVILLE,CHALFANT,0.432409777
2356,MOON,CHALFANT,0.882166165
2357,MOUNT LEBANON,CHALFANT,0.858444439
2358,MOUNT OLIVER,CHALFANT,0.971950666
2359,MUNHALL,CHALFANT,0.208908586
2360,NEVILLE,CHALFANT,0.565367774
2361,NORTH BRADDOCK,CHALFANT,0.796704589
2362,NORTH FAYETTE,CHALFANT,0.429141423
2363,NORTH VERSAILLES,CHALFANT,0.411343049
2364,O'HARA,CHALFANT,0.55289403
2365,OAKDALE,CHALFANT,0.583206106
2366,OAKMONT,CHALFANT,0.561676382
2367,OHIO,CHALFANT,0.521732796
2368,PENN HILLS,CHALFANT,0.149896959
2369,PENNSBURY VILLAGE,CHALFANT,0.283002186
2370,PINE,CHALFANT,0.397158933
2371,PITCAIRN,CHALFANT,0.602369414
2372,PITTSBURGH,CHALFANT,0.378357532
2373,PLEASANT HILLS,CHALFANT,0.783416031
2374,PLUM,CHALFANT,0.634170627
2375,PORT VUE,CHALFANT,0.102693699
2376,RANKIN,CHALFANT,0.255362344
2377,RESERVE,CHALFANT,0.316177332
2378,RICHLAND,CHALFANT,0.60586516
2379,ROBINSON,CHALFANT,0.549847124
2380,ROSS,CHALFANT,0.147367137
2381,ROSSLYN FARMS,CHALFANT,0.469569181
2382,SCOTT,CHALFANT,0.967572351
2383,SEWICKLEY,CHALFANT,0.758952751
2384,SEWICKLEY HEIGHTS,CHALFANT,0.369996975
2385,SEWICKLEY HILLS,CHALFANT,0.51100247
2386,SHALER,CHALFANT,0.315807904
2387,SHARPSBURG,CHALFANT,0.475098217
2388,SOUTH FAYETTE,CHALFANT,0.103161964
2389,SOUTH PARK,CHALFANT,0.629588171
2390,SOUTH VERSAILLES,CHALFANT,0.102394028
2391,SPRINGDALE,CHALFANT,0.431747773
2392,STOWE,CHALFANT,0.796229132
2393,SWISSVALE,CHALFANT,0.467714611
2394,TARENTUM,CHALFANT,0.072324869
2395,THORNBURG,CHALFANT,0.968989998
2396,TRAFFORD,CHALFANT,0.225861955
2397,TURTLE CREEK,CHALFANT,0.188865104
2398,UPPER ST. CLAIR,CHALFANT,0.650206353
2399,VERONA,CHALFANT,0.481544653
2400,VERSAILLES,CHALFANT,0.791278779
2401,WALL,CHALFANT,0.210985439
2402,WEST DEER,CHALFANT,0.45088199
2403,WEST ELIZABETH,CHALFANT,0.020295732
2404,WEST HOMESTEAD,CHALFANT,0.646919201
2405,WEST MIFFLIN,CHALFANT,0.695535926
2406,WEST VIEW,CHALFANT,0.360896179
2407,WHITAKER,CHALFANT,0.276762929
2408,WHITE OAK,CHALFANT,0.114586874
2409,WHITEHALL,CHALFANT,0.641489232
2410,WILKINS,CHALFANT,0.961651228
2411,WILKINSBURG,CHALFANT,0.758234794
2412,WILMERDING,CHALFANT,0.173865203
2413,ALEPPO,CHESWICK,0.586461731
2414,ASPINWALL,CHESWICK,0.962639266
2415,AVALON,CHESWICK,0.175163915
2416,BALDWIN,CHESWICK,0.860600867
2417,BELL ACRES,CHESWICK,0.457717718
2418,BELLEVUE,CHESWICK,0.727539039
2419,BEN AVON,CHESWICK,0.156009904
2420,BEN AVON HEIGHTS,CHESWICK,0.981494462
2421,BETHEL PARK,CHESWICK,0.734163039
2422,BLAWNOX,CHESWICK,0.223470443
2423,BRACKENRIDGE,CHESWICK,0.888264951
2424,BRADDOCK,CHESWICK,0.639304841
2425,BRADDOCK HILLS,CHESWICK,0.726965662
2426,BRADFORD WOODS,CHESWICK,0.169061096
2427,BRENTWOOD,CHESWICK,0.333007476
2428,BRIDGEVILLE,CHESWICK,0.596114442
2429,CARNEGIE,CHESWICK,0.183297869
2430,CASTLE SHANNON,CHESWICK,0.404765503
2431,CHALFANT,CHESWICK,0.685039112
2432,CHESWICK,CHESWICK,0.731070415
2433,CHURCHILL,CHESWICK,0.249495914
2434,CLAIRTON,CHESWICK,0.792944415
2435,COLLIER,CHESWICK,0.006749815
2436,CORAOPOLIS,CHESWICK,0.415453697
2437,CRAFTON,CHESWICK,0.539392788
2438,CRESCENT,CHESWICK,0.985479957
2439,DORMONT,CHESWICK,0.306408754
2440,DRAVOSBURG,CHESWICK,0.960143938
2441,DUQUESNE,CHESWICK,0.464208939
2442,EAST DEER,CHESWICK,0.919863365
2443,EAST MCKEESPORT,CHESWICK,0.577743901
2444,EAST PITTSBURGH,CHESWICK,0.347306993
2445,EDGEWOOD,CHESWICK,0.497209572
2446,EDGEWORTH,CHESWICK,0.325811558
2447,ELIZABETH,CHESWICK,0.878381532
2448,EMSWORTH,CHESWICK,0.98759161
2449,ETNA,CHESWICK,0.162365149
2450,FAWN,CHESWICK,0.917642407
2451,FINDLAY,CHESWICK,0.68524914
2452,FOREST HILLS,CHESWICK,0.733651538
2453,FORWARD,CHESWICK,0.709220201
2454,FOX CHAPEL,CHESWICK,0.214855444
2455,FRANKLIN PARK,CHESWICK,0.042444489
2456,FRAZER,CHESWICK,0.642954167
2457,GLASSPORT,CHESWICK,0.093009013
2458,GLEN OSBORNE,CHESWICK,0.991145566
2459,GLENFIELD,CHESWICK,0.742765152
2460,GREEN TREE,CHESWICK,0.695714379
2461,HAMPTON,CHESWICK,0.762505402
2462,HARMAR,CHESWICK,0.715603929
2463,HARRISON,CHESWICK,0.473016568
2464,HAYSVILLE,CHESWICK,0.737997387
2465,HEIDELBERG,CHESWICK,0.622468559
2466,HOMESTEAD,CHESWICK,0.395055407
2467,INDIANA,CHESWICK,0.584852809
2468,INGRAM,CHESWICK,0.227158935
2469,JEFFERSON HILLS,CHESWICK,0.446807419
2470,KENNEDY,CHESWICK,0.46789802
2471,KILBUCK,CHESWICK,0.225177189
2472,LEET,CHESWICK,0.863400705
2473,LEETSDALE,CHESWICK,0.680826451
2474,LIBERTY,CHESWICK,0.55298737
2475,LINCOLN,CHESWICK,0.483661637
2476,MARSHALL,CHESWICK,0.584075063
2477,MCCANDLESS,CHESWICK,0.673154319
2478,MCDONALD,CHESWICK,0.046706255
2479,MCKEES ROCKS,CHESWICK,0.184073427
2480,MCKEESPORT,CHESWICK,0.222465755
2481,MILLVALE,CHESWICK,0.304411743
2482,MONROEVILLE,CHESWICK,0.542997648
2483,MOON,CHESWICK,0.06146448
2484,MOUNT LEBANON,CHESWICK,0.860917115
2485,MOUNT OLIVER,CHESWICK,0.779568838
2486,MUNHALL,CHESWICK,0.863304577
2487,NEVILLE,CHESWICK,0.457959088
2488,NORTH BRADDOCK,CHESWICK,0.970301016
2489,NORTH FAYETTE,CHESWICK,0.664717633
2490,NORTH VERSAILLES,CHESWICK,0.474837252
2491,O'HARA,CHESWICK,0.667826796
2492,OAKDALE,CHESWICK,0.802565801
2493,OAKMONT,CHESWICK,0.883439322
2494,OHIO,CHESWICK,0.821641615
2495,PENN HILLS,CHESWICK,0.171897956
2496,PENNSBURY VILLAGE,CHESWICK,0.027593023
2497,PINE,CHESWICK,0.822192489
2498,PITCAIRN,CHESWICK,0.355820647
2499,PITTSBURGH,CHESWICK,0.650680747
2500,PLEASANT HILLS,CHESWICK,0.752442557
2501,PLUM,CHESWICK,0.701136439
2502,PORT VUE,CHESWICK,0.293580234
2503,RANKIN,CHESWICK,0.399683705
2504,RESERVE,CHESWICK,0.73702231
2505,RICHLAND,CHESWICK,0.623498161
2506,ROBINSON,CHESWICK,0.13443174
2507,ROSS,CHESWICK,0.109394765
2508,ROSSLYN FARMS,CHESWICK,0.201360089
2509,SCOTT,CHESWICK,0.714800094
2510,SEWICKLEY,CHESWICK,0.281801691
2511,SEWICKLEY HEIGHTS,CHESWICK,0.069080093
2512,SEWICKLEY HILLS,CHESWICK,0.883167735
2513,SHALER,CHESWICK,0.9623332
2514,SHARPSBURG,CHESWICK,0.252796416
2515,SOUTH FAYETTE,CHESWICK,0.019221913
2516,SOUTH PARK,CHESWICK,0.334108433
2517,SOUTH VERSAILLES,CHESWICK,0.542912666
2518,SPRINGDALE,CHESWICK,0.701103265
2519,STOWE,CHESWICK,0.315061999
2520,SWISSVALE,CHESWICK,0.834594579
2521,TARENTUM,CHESWICK,0.233222474
2522,THORNBURG,CHESWICK,0.355699217
2523,TRAFFORD,CHESWICK,0.806719587
2524,TURTLE CREEK,CHESWICK,0.682800732
2525,UPPER ST. CLAIR,CHESWICK,0.207119877
2526,VERONA,CHESWICK,0.217923463
2527,VERSAILLES,CHESWICK,0.613678905
2528,WALL,CHESWICK,0.251617652
2529,WEST DEER,CHESWICK,0.463445915
2530,WEST ELIZABETH,CHESWICK,0.410251524
2531,WEST HOMESTEAD,CHESWICK,0.700253141
2532,WEST MIFFLIN,CHESWICK,0.037306242
2533,WEST VIEW,CHESWICK,0.846304267
2534,WHITAKER,CHESWICK,0.406071506
2535,WHITE OAK,CHESWICK,0.955475787
2536,WHITEHALL,CHESWICK,0.552438977
2537,WILKINS,CHESWICK,0.51614948
2538,WILKINSBURG,CHESWICK,0.852135502
2539,WILMERDING,CHESWICK,0.492640125
2540,ALEPPO,CHURCHILL,0.222727153
2541,ASPINWALL,CHURCHILL,0.807455347
2542,AVALON,CHURCHILL,0.162295055
2543,BALDWIN,CHURCHILL,0.226360798
2544,BELL ACRES,CHURCHILL,0.053903276
2545,BELLEVUE,CHURCHILL,0.033088942
2546,BEN AVON,CHURCHILL,0.42617563
2547,BEN AVON HEIGHTS,CHURCHILL,0.815268656
2548,BETHEL PARK,CHURCHILL,0.9397923
2549,BLAWNOX,CHURCHILL,0.482986334
2550,BRACKENRIDGE,CHURCHILL,0.487054745
2551,BRADDOCK,CHURCHILL,0.958496087
2552,BRADDOCK HILLS,CHURCHILL,0.382210781
2553,BRADFORD WOODS,CHURCHILL,0.769551819
2554,BRENTWOOD,CHURCHILL,0.876160659
2555,BRIDGEVILLE,CHURCHILL,0.873569603
2556,CARNEGIE,CHURCHILL,0.765833175
2557,CASTLE SHANNON,CHURCHILL,0.312592011
2558,CHALFANT,CHURCHILL,0.930092197
2559,CHESWICK,CHURCHILL,0.794789463
2560,CHURCHILL,CHURCHILL,0.555138528
2561,CLAIRTON,CHURCHILL,0.963648405
2562,COLLIER,CHURCHILL,0.383236084
2563,CORAOPOLIS,CHURCHILL,0.316203001
2564,CRAFTON,CHURCHILL,0.253371544
2565,CRESCENT,CHURCHILL,0.560180135
2566,DORMONT,CHURCHILL,0.724656335
2567,DRAVOSBURG,CHURCHILL,0.203101692
2568,DUQUESNE,CHURCHILL,0.50008163
2569,EAST DEER,CHURCHILL,0.693244743
2570,EAST MCKEESPORT,CHURCHILL,0.360507433
2571,EAST PITTSBURGH,CHURCHILL,0.996327961
2572,EDGEWOOD,CHURCHILL,0.488617179
2573,EDGEWORTH,CHURCHILL,0.800635573
2574,ELIZABETH,CHURCHILL,0.125217012
2575,EMSWORTH,CHURCHILL,0.764781489
2576,ETNA,CHURCHILL,0.922531154
2577,FAWN,CHURCHILL,0.597326966
2578,FINDLAY,CHURCHILL,0.133256895
2579,FOREST HILLS,CHURCHILL,0.976666484
2580,FORWARD,CHURCHILL,0.149055868
2581,FOX CHAPEL,CHURCHILL,0.933176697
2582,FRANKLIN PARK,CHURCHILL,0.297671708
2583,FRAZER,CHURCHILL,0.941545662
2584,GLASSPORT,CHURCHILL,0.244568526
2585,GLEN OSBORNE,CHURCHILL,0.28072378
2586,GLENFIELD,CHURCHILL,0.042500653
2587,GREEN TREE,CHURCHILL,0.765479864
2588,HAMPTON,CHURCHILL,0.948452284
2589,HARMAR,CHURCHILL,0.90387186
2590,HARRISON,CHURCHILL,0.906876133
2591,HAYSVILLE,CHURCHILL,0.134426437
2592,HEIDELBERG,CHURCHILL,0.787979648
2593,HOMESTEAD,CHURCHILL,0.360625344
2594,INDIANA,CHURCHILL,0.288048486
2595,INGRAM,CHURCHILL,0.27039774
2596,JEFFERSON HILLS,CHURCHILL,0.951508596
2597,KENNEDY,CHURCHILL,0.552221514
2598,KILBUCK,CHURCHILL,0.026936097
2599,LEET,CHURCHILL,0.042476307
2600,LEETSDALE,CHURCHILL,0.825844361
2601,LIBERTY,CHURCHILL,0.845607191
2602,LINCOLN,CHURCHILL,0.472140525
2603,MARSHALL,CHURCHILL,0.952236148
2604,MCCANDLESS,CHURCHILL,0.324689101
2605,MCDONALD,CHURCHILL,0.397774507
2606,MCKEES ROCKS,CHURCHILL,0.864260543
2607,MCKEESPORT,CHURCHILL,0.657030387
2608,MILLVALE,CHURCHILL,0.160647749
2609,MONROEVILLE,CHURCHILL,0.371197914
2610,MOON,CHURCHILL,0.382682121
2611,MOUNT LEBANON,CHURCHILL,0.531235082
2612,MOUNT OLIVER,CHURCHILL,0.981339556
2613,MUNHALL,CHURCHILL,0.299787392
2614,NEVILLE,CHURCHILL,0.68712932
2615,NORTH BRADDOCK,CHURCHILL,0.352343376
2616,NORTH FAYETTE,CHURCHILL,0.696741053
2617,NORTH VERSAILLES,CHURCHILL,0.294702695
2618,O'HARA,CHURCHILL,0.632815994
2619,OAKDALE,CHURCHILL,0.201865035
2620,OAKMONT,CHURCHILL,0.423473275
2621,OHIO,CHURCHILL,0.977143352
2622,PENN HILLS,CHURCHILL,0.903524948
2623,PENNSBURY VILLAGE,CHURCHILL,0.535488826
2624,PINE,CHURCHILL,0.714582873
2625,PITCAIRN,CHURCHILL,0.894458751
2626,PITTSBURGH,CHURCHILL,0.708075092
2627,PLEASANT HILLS,CHURCHILL,0.2816857
2628,PLUM,CHURCHILL,0.621011798
2629,PORT VUE,CHURCHILL,0.308600959
2630,RANKIN,CHURCHILL,0.866172604
2631,RESERVE,CHURCHILL,0.612904753
2632,RICHLAND,CHURCHILL,0.497572273
2633,ROBINSON,CHURCHILL,0.80690084
2634,ROSS,CHURCHILL,0.964594741
2635,ROSSLYN FARMS,CHURCHILL,0.893238487
2636,SCOTT,CHURCHILL,0.039183312
2637,SEWICKLEY,CHURCHILL,0.615109297
2638,SEWICKLEY HEIGHTS,CHURCHILL,0.885098807
2639,SEWICKLEY HILLS,CHURCHILL,0.179915675
2640,SHALER,CHURCHILL,0.687091048
2641,SHARPSBURG,CHURCHILL,0.395280838
2642,SOUTH FAYETTE,CHURCHILL,0.983832854
2643,SOUTH PARK,CHURCHILL,0.246521098
2644,SOUTH VERSAILLES,CHURCHILL,0.116477998
2645,SPRINGDALE,CHURCHILL,0.403219326
2646,STOWE,CHURCHILL,0.179080204
2647,SWISSVALE,CHURCHILL,0.574076026
2648,TARENTUM,CHURCHILL,0.934674184
2649,THORNBURG,CHURCHILL,0.068224901
2650,TRAFFORD,CHURCHILL,0.52208565
2651,TURTLE CREEK,CHURCHILL,0.299247616
2652,UPPER ST. CLAIR,CHURCHILL,0.392846659
2653,VERONA,CHURCHILL,0.82481271
2654,VERSAILLES,CHURCHILL,0.329267368
2655,WALL,CHURCHILL,0.892016768
2656,WEST DEER,CHURCHILL,0.528895067
2657,WEST ELIZABETH,CHURCHILL,0.921023341
2658,WEST HOMESTEAD,CHURCHILL,0.79524188
2659,WEST MIFFLIN,CHURCHILL,0.302605809
2660,WEST VIEW,CHURCHILL,0.667630745
2661,WHITAKER,CHURCHILL,0.569652996
2662,WHITE OAK,CHURCHILL,0.562375848
2663,WHITEHALL,CHURCHILL,0.09913474
2664,WILKINS,CHURCHILL,0.861623426
2665,WILKINSBURG,CHURCHILL,0.76361568
2666,WILMERDING,CHURCHILL,0.24628491
2667,ALEPPO,CLAIRTON,0.630881961
2668,ASPINWALL,CLAIRTON,0.886251296
2669,AVALON,CLAIRTON,0.020780917
2670,BALDWIN,CLAIRTON,0.080594638
2671,BELL ACRES,CLAIRTON,0.617034063
2672,BELLEVUE,CLAIRTON,0.847660077
2673,BEN AVON,CLAIRTON,0.609187151
2674,BEN AVON HEIGHTS,CLAIRTON,0.467852531
2675,BETHEL PARK,CLAIRTON,0.951326
2676,BLAWNOX,CLAIRTON,0.798131892
2677,BRACKENRIDGE,CLAIRTON,0.169390403
2678,BRADDOCK,CLAIRTON,0.512195483
2679,BRADDOCK HILLS,CLAIRTON,0.223311483
2680,BRADFORD WOODS,CLAIRTON,0.209199465
2681,BRENTWOOD,CLAIRTON,0.501322288
2682,BRIDGEVILLE,CLAIRTON,0.246381051
2683,CARNEGIE,CLAIRTON,0.303476852
2684,CASTLE SHANNON,CLAIRTON,0.490887269
2685,CHALFANT,CLAIRTON,0.080198653
2686,CHESWICK,CLAIRTON,0.747610148
2687,CHURCHILL,CLAIRTON,0.772972902
2688,CLAIRTON,CLAIRTON,0.295253076
2689,COLLIER,CLAIRTON,0.442287411
2690,CORAOPOLIS,CLAIRTON,0.873565971
2691,CRAFTON,CLAIRTON,0.980642174
2692,CRESCENT,CLAIRTON,0.098284205
2693,DORMONT,CLAIRTON,0.313936862
2694,DRAVOSBURG,CLAIRTON,0.873548134
2695,DUQUESNE,CLAIRTON,0.752128908
2696,EAST DEER,CLAIRTON,0.015107304
2697,EAST MCKEESPORT,CLAIRTON,0.562125786
2698,EAST PITTSBURGH,CLAIRTON,0.45002763
2699,EDGEWOOD,CLAIRTON,0.041600397
2700,EDGEWORTH,CLAIRTON,0.02544676
2701,ELIZABETH,CLAIRTON,0.853415185
2702,EMSWORTH,CLAIRTON,0.912430866
2703,ETNA,CLAIRTON,0.072893698
2704,FAWN,CLAIRTON,0.146353686
2705,FINDLAY,CLAIRTON,0.39338381
2706,FOREST HILLS,CLAIRTON,0.240856085
2707,FORWARD,CLAIRTON,0.995433932
2708,FOX CHAPEL,CLAIRTON,0.376237146
2709,FRANKLIN PARK,CLAIRTON,0.986473022
2710,FRAZER,CLAIRTON,0.202434544
2711,GLASSPORT,CLAIRTON,0.00727787
2712,GLEN OSBORNE,CLAIRTON,0.04927723
2713,GLENFIELD,CLAIRTON,0.634211096
2714,GREEN TREE,CLAIRTON,0.265342714
2715,HAMPTON,CLAIRTON,0.578447572
2716,HARMAR,CLAIRTON,0.271906521
2717,HARRISON,CLAIRTON,0.974894936
2718,HAYSVILLE,CLAIRTON,0.816759839
2719,HEIDELBERG,CLAIRTON,0.608077502
2720,HOMESTEAD,CLAIRTON,0.051717935
2721,INDIANA,CLAIRTON,0.197523612
2722,INGRAM,CLAIRTON,0.72304566
2723,JEFFERSON HILLS,CLAIRTON,0.273942736
2724,KENNEDY,CLAIRTON,0.895006508
2725,KILBUCK,CLAIRTON,0.737092931
2726,LEET,CLAIRTON,0.980329945
2727,LEETSDALE,CLAIRTON,0.040138121
2728,LIBERTY,CLAIRTON,0.139985106
2729,LINCOLN,CLAIRTON,0.960694555
2730,MARSHALL,CLAIRTON,0.741409689
2731,MCCANDLESS,CLAIRTON,0.826924696
2732,MCDONALD,CLAIRTON,0.67903487
2733,MCKEES ROCKS,CLAIRTON,0.429031288
2734,MCKEESPORT,CLAIRTON,0.463510146
2735,MILLVALE,CLAIRTON,0.684224937
2736,MONROEVILLE,CLAIRTON,0.577154434
2737,MOON,CLAIRTON,0.283125988
2738,MOUNT LEBANON,CLAIRTON,0.512653884
2739,MOUNT OLIVER,CLAIRTON,0.568485255
2740,MUNHALL,CLAIRTON,0.411891101
2741,NEVILLE,CLAIRTON,0.735650965
2742,NORTH BRADDOCK,CLAIRTON,0.597960847
2743,NORTH FAYETTE,CLAIRTON,0.909284875
2744,NORTH VERSAILLES,CLAIRTON,0.314760033
2745,O'HARA,CLAIRTON,0.385206891
2746,OAKDALE,CLAIRTON,0.19379872
2747,OAKMONT,CLAIRTON,0.561309967
2748,OHIO,CLAIRTON,0.103072289
2749,PENN HILLS,CLAIRTON,0.328743412
2750,PENNSBURY VILLAGE,CLAIRTON,0.886392864
2751,PINE,CLAIRTON,0.131855557
2752,PITCAIRN,CLAIRTON,0.07959173
2753,PITTSBURGH,CLAIRTON,0.116787323
2754,PLEASANT HILLS,CLAIRTON,0.286784247
2755,PLUM,CLAIRTON,0.140450981
2756,PORT VUE,CLAIRTON,0.641796534
2757,RANKIN,CLAIRTON,0.542749889
2758,RESERVE,CLAIRTON,0.491523859
2759,RICHLAND,CLAIRTON,0.660474132
2760,ROBINSON,CLAIRTON,0.352462487
2761,ROSS,CLAIRTON,0.521201776
2762,ROSSLYN FARMS,CLAIRTON,0.861498051
2763,SCOTT,CLAIRTON,0.524038568
2764,SEWICKLEY,CLAIRTON,0.491981712
2765,SEWICKLEY HEIGHTS,CLAIRTON,0.14412632
2766,SEWICKLEY HILLS,CLAIRTON,0.574569088
2767,SHALER,CLAIRTON,0.701828525
2768,SHARPSBURG,CLAIRTON,0.821658532
2769,SOUTH FAYETTE,CLAIRTON,0.68956856
2770,SOUTH PARK,CLAIRTON,0.447153036
2771,SOUTH VERSAILLES,CLAIRTON,0.570621456
2772,SPRINGDALE,CLAIRTON,0.163373204
2773,STOWE,CLAIRTON,0.012884659
2774,SWISSVALE,CLAIRTON,0.652870843
2775,TARENTUM,CLAIRTON,0.131355972
2776,THORNBURG,CLAIRTON,0.611005651
2777,TRAFFORD,CLAIRTON,0.277791881
2778,TURTLE CREEK,CLAIRTON,0.411177468
2779,UPPER ST. CLAIR,CLAIRTON,0.827708375
2780,VERONA,CLAIRTON,0.29824506
2781,VERSAILLES,CLAIRTON,0.916482883
2782,WALL,CLAIRTON,0.857046087
2783,WEST DEER,CLAIRTON,0.198466069
2784,WEST ELIZABETH,CLAIRTON,0.715420307
2785,WEST HOMESTEAD,CLAIRTON,0.130657966
2786,WEST MIFFLIN,CLAIRTON,0.995440272
2787,WEST VIEW,CLAIRTON,0.091573304
2788,WHITAKER,CLAIRTON,0.169667326
2789,WHITE OAK,CLAIRTON,0.308202395
2790,WHITEHALL,CLAIRTON,0.316531091
2791,WILKINS,CLAIRTON,0.238610521
2792,WILKINSBURG,CLAIRTON,0.555736446
2793,WILMERDING,CLAIRTON,0.300064538
2794,ALEPPO,COLLIER,0.034774673
2795,ASPINWALL,COLLIER,0.297633499
2796,AVALON,COLLIER,0.48197184
2797,BALDWIN,COLLIER,0.620355928
2798,BELL ACRES,COLLIER,0.87208435
2799,BELLEVUE,COLLIER,0.661568341
2800,BEN AVON,COLLIER,0.560133071
2801,BEN AVON HEIGHTS,COLLIER,0.273876073
2802,BETHEL PARK,COLLIER,0.678490083
2803,BLAWNOX,COLLIER,0.938557977
2804,BRACKENRIDGE,COLLIER,0.109808759
2805,BRADDOCK,COLLIER,0.415343123
2806,BRADDOCK HILLS,COLLIER,0.726981425
2807,BRADFORD WOODS,COLLIER,0.363508462
2808,BRENTWOOD,COLLIER,0.205086501
2809,BRIDGEVILLE,COLLIER,0.885811128
2810,CARNEGIE,COLLIER,0.861567259
2811,CASTLE SHANNON,COLLIER,0.765619473
2812,CHALFANT,COLLIER,0.227027158
2813,CHESWICK,COLLIER,0.847427035
2814,CHURCHILL,COLLIER,0.861020352
2815,CLAIRTON,COLLIER,0.816323387
2816,COLLIER,COLLIER,0.629925213
2817,CORAOPOLIS,COLLIER,0.78666376
2818,CRAFTON,COLLIER,0.544697632
2819,CRESCENT,COLLIER,0.62218914
2820,DORMONT,COLLIER,0.022564803
2821,DRAVOSBURG,COLLIER,0.948649441
2822,DUQUESNE,COLLIER,0.515554542
2823,EAST DEER,COLLIER,0.930679671
2824,EAST MCKEESPORT,COLLIER,0.251198813
2825,EAST PITTSBURGH,COLLIER,0.868497655
2826,EDGEWOOD,COLLIER,0.448584474
2827,EDGEWORTH,COLLIER,0.134704742
2828,ELIZABETH,COLLIER,0.622270364
2829,EMSWORTH,COLLIER,0.201346291
2830,ETNA,COLLIER,0.261546037
2831,FAWN,COLLIER,0.057054793
2832,FINDLAY,COLLIER,0.677993507
2833,FOREST HILLS,COLLIER,0.331340464
2834,FORWARD,COLLIER,0.65267149
2835,FOX CHAPEL,COLLIER,0.105096268
2836,FRANKLIN PARK,COLLIER,0.786418468
2837,FRAZER,COLLIER,0.490208966
2838,GLASSPORT,COLLIER,0.265263362
2839,GLEN OSBORNE,COLLIER,0.072528626
2840,GLENFIELD,COLLIER,0.326295098
2841,GREEN TREE,COLLIER,0.336123344
2842,HAMPTON,COLLIER,0.20128131
2843,HARMAR,COLLIER,0.1801089
2844,HARRISON,COLLIER,0.236310385
2845,HAYSVILLE,COLLIER,0.480086091
2846,HEIDELBERG,COLLIER,0.971122281
2847,HOMESTEAD,COLLIER,0.893176456
2848,INDIANA,COLLIER,0.065576361
2849,INGRAM,COLLIER,0.448270259
2850,JEFFERSON HILLS,COLLIER,0.015982663
2851,KENNEDY,COLLIER,0.287741269
2852,KILBUCK,COLLIER,0.687850577
2853,LEET,COLLIER,0.278571306
2854,LEETSDALE,COLLIER,0.763370626
2855,LIBERTY,COLLIER,0.348453434
2856,LINCOLN,COLLIER,0.155141309
2857,MARSHALL,COLLIER,0.663688015
2858,MCCANDLESS,COLLIER,0.374755275
2859,MCDONALD,COLLIER,0.404736885
2860,MCKEES ROCKS,COLLIER,0.798125231
2861,MCKEESPORT,COLLIER,0.242492159
2862,MILLVALE,COLLIER,0.723930429
2863,MONROEVILLE,COLLIER,0.950411292
2864,MOON,COLLIER,0.055201508
2865,MOUNT LEBANON,COLLIER,0.320465124
2866,MOUNT OLIVER,COLLIER,0.026609523
2867,MUNHALL,COLLIER,0.878710501
2868,NEVILLE,COLLIER,0.832197087
2869,NORTH BRADDOCK,COLLIER,0.593637501
2870,NORTH FAYETTE,COLLIER,0.611170476
2871,NORTH VERSAILLES,COLLIER,0.284426703
2872,O'HARA,COLLIER,0.320113674
2873,OAKDALE,COLLIER,0.063370473
2874,OAKMONT,COLLIER,0.646474879
2875,OHIO,COLLIER,0.663495934
